iter	Passed	Remaining
0	182	182312
1	201	100329
2	219	73021
3	239	59732
4	259	51617
5	278	46158
6	297	42158
7	316	39271
8	336	37099
9	357	35382
10	379	34131
11	399	32884
12	418	31778
13	438	30855
14	459	30200
15	482	29653
16	505	29207
17	528	28835
18	548	28299
19	567	27819
20	591	27561
21	612	27207
22	633	26891
23	652	26542
24	671	26205
25	692	25930
26	713	25698
27	739	25672
28	766	25657
29	786	25430
30	806	25204
31	826	24998
32	846	24814
33	867	24659
34	888	24496
35	908	24325
36	928	24155
37	948	24001
38	968	23853
39	987	23693
40	1008	23592
41	1029	23486
42	1049	23359
43	1070	23267
44	1090	23150
45	1113	23101
46	1135	23027
47	1157	22957
48	1178	22863
49	1198	22767
50	1218	22666
51	1238	22576
52	1259	22499
53	1279	22409
54	1299	22320
55	1318	22227
56	1338	22142
57	1357	22054
58	1378	21981
59	1400	21939
60	1419	21858
61	1448	21912
62	1469	21862
63	1492	21833
64	1515	21801
65	1536	21742
66	1556	21676
67	1578	21630
68	1598	21566
69	1619	21512
70	1639	21445
71	1659	21388
72	1679	21329
73	1704	21333
74	1725	21282
75	1745	21219
76	1764	21152
77	1784	21095
78	1804	21042
79	1823	20974
80	1844	20926
81	1864	20871
82	1884	20815
83	1906	20786
84	1926	20739
85	1946	20686
86	1965	20628
87	1985	20576
88	2004	20521
89	2025	20478
90	2046	20437
91	2064	20378
92	2084	20329
93	2104	20282
94	2124	20235
95	2144	20196
96	2165	20163
97	2185	20115
98	2205	20068
99	2225	20029
100	2245	19984
101	2269	19981
102	2290	19947
103	2311	19916
104	2331	19872
105	2351	19828
106	2371	19789
107	2392	19758
108	2412	19717
109	2433	19691
110	2455	19668
111	2477	19641
112	2500	19624
113	2520	19588
114	2542	19563
115	2562	19528
116	2582	19488
117	2602	19450
118	2621	19408
119	2641	19370
120	2661	19333
121	2682	19307
122	2702	19267
123	2722	19233
124	2742	19199
125	2761	19158
126	2782	19125
127	2818	19203
128	2838	19162
129	2857	19123
130	2877	19089
131	2897	19055
132	2917	19018
133	2939	18995
134	2959	18962
135	2980	18934
136	2999	18894
137	3034	18954
138	3054	18923
139	3077	18904
140	3100	18886
141	3119	18849
142	3138	18809
143	3159	18779
144	3178	18744
145	3200	18719
146	3220	18685
147	3239	18649
148	3260	18623
149	3280	18591
150	3301	18561
151	3321	18530
152	3341	18496
153	3362	18469
154	3382	18442
155	3403	18411
156	3423	18379
157	3445	18359
158	3467	18339
159	3489	18317
160	3511	18298
161	3532	18271
162	3552	18239
163	3573	18216
164	3593	18185
165	3613	18152
166	3632	18120
167	3653	18091
168	3673	18065
169	3693	18034
170	3714	18008
171	3734	17977
172	3754	17946
173	3775	17922
174	3796	17897
175	3816	17868
176	3837	17843
177	3857	17813
178	3878	17787
179	3897	17754
180	3917	17724
181	3936	17693
182	3957	17667
183	3977	17638
184	3997	17612
185	4018	17585
186	4037	17553
187	4057	17524
188	4079	17503
189	4099	17475
190	4119	17450
191	4140	17422
192	4161	17399
193	4182	17376
194	4203	17353
195	4224	17329
196	4244	17302
197	4264	17275
198	4284	17244
199	4303	17213
200	4323	17185
201	4343	17159
202	4364	17136
203	4386	17115
204	4406	17088
205	4426	17062
206	4448	17043
207	4473	17032
208	4495	17015
209	4517	16995
210	4538	16971
211	4558	16943
212	4578	16917
213	4598	16889
214	4617	16858
215	4636	16827
216	4656	16800
217	4676	16774
218	4696	16748
219	4717	16725
220	4736	16696
221	4757	16671
222	4777	16645
223	4796	16616
224	4815	16587
225	4836	16564
226	4856	16538
227	4877	16514
228	4896	16485
229	4916	16459
230	4935	16431
231	4956	16407
232	4978	16390
233	4999	16364
234	5019	16341
235	5039	16314
236	5059	16288
237	5080	16266
238	5101	16244
239	5120	16216
240	5141	16191
241	5165	16179
242	5185	16155
243	5204	16126
244	5227	16108
245	5246	16080
246	5266	16055
247	5286	16030
248	5305	16003
249	5325	15977
250	5346	15953
251	5365	15925
252	5385	15902
253	5407	15880
254	5426	15855
255	5449	15838
256	5472	15820
257	5497	15810
258	5519	15790
259	5538	15763
260	5558	15739
261	5579	15715
262	5599	15691
263	5619	15666
264	5638	15639
